id,slug,title,url,sector_clean,sector_confidence,country_clean,country_confidence,year_clean,year_method,year_confidence,report_type_clean,type_note,type_confidence,assurance_clean,is_assured_raw,sroi_ratio_value,ratio_confidence,total_investment_raw,stakeholder_mentions,has_pdf,has_text,text_length,p1_involve_stakeholders,p2_understand_changes,p3_value_what_matters,p4_only_material,p5_do_not_overclaim,p6_be_transparent,p7_verify_result,p8_be_responsive,quality_total,quality_pct,n_quality_flags
214,the-evaluation-of-the-community-support-for-offenders-families-service,Reports Database:The evaluation of the Community Support for Offenders’ Families service,https://socialvalueuk.org/reports/the-evaluation-of-the-community-support-for-offenders-families-service/,justice,HIGH,UK,HIGH,2015,modal_3000chars,LOW,Evaluative,assumed_evaluative,LOW,0,0,,N/A,"Inputs	
3.2",2,1,1,5000,1,1,0,0,0,2,1,1,6,37.5,1
215,night-shelter-impact-report-201314,Reports Database:Night Shelter Impact Report 2013/14,https://socialvalueuk.org/reports/night-shelter-impact-report-201314/,housing,HIGH,UK,MEDIUM,2013,modal_800chars,LOW,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,0,1,1,5000,0,1,1,0,0,1,0,0,3,18.8,1
216,crisis-impact-report-2013-2014,Reports Database:Crisis impact report 2013-2014,https://socialvalueuk.org/reports/crisis-impact-report-2013-2014/,housing,MEDIUM,UK,HIGH,2013,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,0,1,1,5000,1,1,0,0,0,1,1,0,4,25.0,3
217,shaw-trust-making-a-difference-our-year-in-review-2013-2014,Reports Database:Shaw Trust. Making a difference: Our year in review 2013-2014,https://socialvalueuk.org/reports/shaw-trust-making-a-difference-our-year-in-review-2013-2014/,employment,MEDIUM,UK,HIGH,2013,modal_800chars,LOW,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,0,1,1,5000,2,1,1,0,0,0,1,1,6,37.5,4
218,helping-more-people-shelter-impact-report-201213,Reports Database:Helping More People. Shelter impact report 2012/13,https://socialvalueuk.org/reports/helping-more-people-shelter-impact-report-201213/,housing,HIGH,UK,HIGH,2012,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,0,1,1,5000,0,1,0,0,0,1,0,0,2,12.5,1
219,keys-to-the-future-an-independent-evaluation-of-shelters-children-services-bristol-service-interim-report,Reports Database:Keys to the Future: An independent evaluation of Shelter’s Children Services. Brist,https://socialvalueuk.org/reports/keys-to-the-future-an-independent-evaluation-of-shelters-children-services-bristol-service-interim-report/,housing,HIGH,UK,MEDIUM,,scraped_date_fallback,NONE,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,2,1,1,5000,2,1,0,0,0,2,1,1,7,43.8,2
220,keys-to-the-future-an-independent-evaluation-of-shelters-children-services-interim-summary-report,Reports Database:Keys to the Future: An independent evaluation of Shelter’s Children Services. Inter,https://socialvalueuk.org/reports/keys-to-the-future-an-independent-evaluation-of-shelters-children-services-interim-summary-report/,housing,MEDIUM,UK,HIGH,2006,modal_3000chars,LOW,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,2,1,1,5000,1,1,0,0,0,2,1,1,6,37.5,1
221,wales-council-for-voluntary-action-impact-report-2013-14,Reports Database:Wales Council for Voluntary Action Impact report 2013-14,https://socialvalueuk.org/reports/wales-council-for-voluntary-action-impact-report-2013-14/,arts_culture,MEDIUM,UK,MEDIUM,2014,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,0,1,1,5000,1,1,1,0,0,1,1,0,5,31.2,3
222,refugee-council-impact-report-2012-2013,Reports Database:Refugee Council Impact Report 2012-2013,https://socialvalueuk.org/reports/refugee-council-impact-report-2012-2013/,housing,LOW,UK,MEDIUM,2013,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,0,1,1,5000,0,1,0,0,0,0,1,0,2,12.5,1
223,refugee-council-impact-report-2013-2014,Reports Database:Refugee Council Impact Report 2013-2014,https://socialvalueuk.org/reports/refugee-council-impact-report-2013-2014/,health,LOW,UK,MEDIUM,2014,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,0,1,1,5000,1,1,0,1,0,1,1,0,5,31.2,3
