id,slug,title,url,sector_clean,year_clean,report_type_clean,org_type,assurance_clean,sroi_ratio_value,total_investment_raw,stakeholder_mentions,has_pdf,pdf_extracted,has_text,text_length,p1_involve_stakeholders,p2_understand_changes,p3_value_what_matters,p4_only_material,p5_do_not_overclaim,p6_be_transparent,p7_verify_result,p8_be_responsive,quality_total,quality_pct,is_assured_raw,publication_year_raw,country_clean
317,the-long-road-to-resilience-impact-and-cost-benefit-analysis-of-community-based-disaster-risk-reduction-in-bangladesh,Reports Database:The long road to resilience: Impact and cost-benefit analysis of community-based di,https://socialvalueuk.org/reports/the-long-road-to-resilience-impact-and-cost-benefit-analysis-of-community-based-disaster-risk-reduction-in-bangladesh/,arts_culture,2005.0,Unknown,unknown,0,,"Costs 	

 6.2",0,1,1,1,5000,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,37.5,0,2023.0,Bangladesh
318,pricing-the-priceless-cost-benefit-analysis-of-environmental-protection,Reports Database:Pricing the Priceless: Cost-Benefit Analysis of Environmental Protection,https://socialvalueuk.org/reports/pricing-the-priceless-cost-benefit-analysis-of-environmental-protection/,education,1997.0,Unknown,unknown,0,,,0,1,1,1,5000,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,5.0,31.2,0,2023.0,USA
319,the-cost-benefit-analysis-of-the-preschool-curriculum-comparison-study,Reports Database:The Cost-Benefit Analysis of the Preschool Curriculum Comparison Study,https://socialvalueuk.org/reports/the-cost-benefit-analysis-of-the-preschool-curriculum-comparison-study/,education,2010.0,Unknown,unknown,0,,,0,1,1,1,5000,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,12.5,0,2023.0,USA
320,partnerships-for-change-a-cost-benefit-analysis-of-self-help-groups-in-ethiopia,Reports Database:Partnerships for change: a cost benefit analysis of Self Help Groups in Ethiopia,https://socialvalueuk.org/reports/partnerships-for-change-a-cost-benefit-analysis-of-self-help-groups-in-ethiopia/,agriculture_food,2013.0,Unknown,charity,0,,,0,1,1,1,5000,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,31.2,0,2023.0,UK
321,evaluating-costs-and-benefits-of-flood-reduction-under-changing-climatic-conditions-a-pakistan-case-study,Reports Database:Evaluating Costs and Benefits of Flood Reduction under Changing Climatic Conditions,https://socialvalueuk.org/reports/evaluating-costs-and-benefits-of-flood-reduction-under-changing-climatic-conditions-a-pakistan-case-study/,environment,2008.0,Unknown,private,0,,,0,1,1,1,5000,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,18.8,0,2023.0,Nepal
322,fiji-technical-report-an-economic-analysis-of-flood-warning-in-navua-fiji,"Reports Database:Fiji Technical Report – An economic analysis of flood warning in Navua, Fiji",https://socialvalueuk.org/reports/fiji-technical-report-an-economic-analysis-of-flood-warning-in-navua-fiji/,other,2008.0,Unknown,unknown,1,,costs of 2004,1,1,1,1,5000,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,7.0,43.8,0,2023.0,Fiji
323,samoa-technical-report-economic-analysis-of-flood-risk-reduction-measures-for-the-lower-vaisigano-catchment-area,Reports Database:Samoa Technical Report – Economic Analysis of Flood Risk Reduction Measures for the,https://socialvalueuk.org/reports/samoa-technical-report-economic-analysis-of-flood-risk-reduction-measures-for-the-lower-vaisigano-catchment-area/,education,2008.0,Unknown,charity,1,,,1,1,1,1,5000,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,25.0,0,2023.0,Samoa
324,a-social-cost-benefit-analysis-of-the-rural-social-scheme,Reports Database:A Social Cost-Benefit Analysis of the Rural Social Scheme,https://socialvalueuk.org/reports/a-social-cost-benefit-analysis-of-the-rural-social-scheme/,arts_culture,,Unknown,private,0,,"COSTS 
10",0,1,1,1,5000,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,37.5,0,2023.0,Ireland
325,evaluating-costs-and-benefits-of-flood-reduction-under-changing-climatic-conditions-case-of-the-rohini-river-basin-india,Reports Database:Evaluating Costs and Benefits of Flood Reduction under Changing Climatic Conditions,https://socialvalueuk.org/reports/evaluating-costs-and-benefits-of-flood-reduction-under-changing-climatic-conditions-case-of-the-rohini-river-basin-india/,environment,2008.0,Unknown,private,0,,,5,1,1,1,5000,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,31.2,0,2023.0,Nepal
326,costs-and-benefits-of-early-warning-systems,Reports Database:Costs and benefits of early warning systems,https://socialvalueuk.org/reports/costs-and-benefits-of-early-warning-systems/,other,,Unknown,unknown,0,,,0,1,1,1,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2023.0,UK
