id,title,sector,sector_confidence,sector_flag,country,country_confidence,country_flag,year,year_method,year_confidence,year_flag,report_type,type_note,type_confidence,type_flag,sroi_ratio,ratio_confidence,ratio_flag,quality_pct,n_quality_flags,all_flags
127,Reports Database:Vienna University of Economics and Business – “Fire Brigades in,housing,LOW,TIED between housing and employment — ambiguous,New Zealand,MEDIUM,NARROW margin (1),2010,modal_800chars,LOW,CHECK: only 1 occurrence,Evaluative,assumed_evaluative,LOW,ASSUMED EVALUATIVE — no keyword found,,N/A,,50.0,1,SECTOR: TIED between housing and employment — ambiguous | COUNTRY: NARROW margin (1) | YEAR: CHECK: only 1 occurrence | TYPE: ASSUMED EVALUATIVE — no keyword found | QUALITY: p6_be_transparent: Verify: generic terms may produce false positives
128,Reports Database:BOOKSTART: Investing in the future of our children – Executive ,education,HIGH,,UK,MEDIUM,,2009,explicit_pattern,HIGH,,Forecast,keyword_match,MEDIUM,,,N/A,,43.8,4,QUALITY: p3_value_what_matters: WEAK — only 1 keyword; may be coincidental | QUALITY: p4_only_material: WEAK — only 1 keyword; may be coincidental | QUALITY: p6_be_transparent: WEAK — only 1 keyword; may be coincidental | QUALITY: p8_be_responsive: WEAK — only 1 keyword; may be coincidental
129,Reports Database:Vienna University of Economics and Business – “Donate Your Wash,employment,MEDIUM,NARROW margin over environment (score diff=1),USA,MEDIUM,NARROW margin (1),2009,modal_800chars,LOW,CHECK: only 1 occurrence,Forecast,keyword_match,MEDIUM,,,N/A,,31.2,4,SECTOR: NARROW margin over environment (score diff=1) | COUNTRY: NARROW margin (1) | YEAR: CHECK: only 1 occurrence | QUALITY: p1_involve_stakeholders: WEAK — only 1 keyword; may be coincidental | QUALITY: p3_value_what_matters: WEAK — only 1 keyword; may be coincidental | QUALITY: p4_only_material: WEAK — only 1 keyword; may be coincidental | QUALITY: p6_be_transparent: Verify: generic terms may produce false positives
130,Reports Database:Social return on Investment of Citizens Advice Direct,housing,LOW,TIED between housing and employment — ambiguous,UK,HIGH,,2014,explicit_pattern,HIGH,,Scoping,keyword_match,MEDIUM,,,N/A,,43.8,3,SECTOR: TIED between housing and employment — ambiguous | QUALITY: p1_involve_stakeholders: WEAK — only 1 keyword; may be coincidental | QUALITY: p3_value_what_matters: WEAK — only 1 keyword; may be coincidental | QUALITY: p7_verify_result: WEAK — only 1 keyword; may be coincidental
132,Reports Database:Vienna Univeristy of Economics and Business – “Miteinander lebe,housing,LOW,TIED between housing and education — ambiguous,Unknown,NONE,UNKNOWN COUNTRY — manual review needed,2012,modal_800chars,LOW,CHECK: only 1 occurrence,Evaluative,assumed_evaluative,LOW,ASSUMED EVALUATIVE — no keyword found,,N/A,,62.5,2,SECTOR: TIED between housing and education — ambiguous | COUNTRY: UNKNOWN COUNTRY — manual review needed | YEAR: CHECK: only 1 occurrence | TYPE: ASSUMED EVALUATIVE — no keyword found | QUALITY: p4_only_material: WEAK — only 1 keyword; may be coincidental | QUALITY: p6_be_transparent: WEAK — only 1 keyword; may be coincidental
133,Reports Database:Vienna University of Economics and Business – “Initial Housing ,education,MEDIUM,,Unknown,NONE,UNKNOWN COUNTRY — manual review needed,2010,modal_800chars,LOW,CHECK: only 1 occurrence,Evaluative,assumed_evaluative,LOW,ASSUMED EVALUATIVE — no keyword found,,N/A,,43.8,2,COUNTRY: UNKNOWN COUNTRY — manual review needed | YEAR: CHECK: only 1 occurrence | TYPE: ASSUMED EVALUATIVE — no keyword found | QUALITY: p1_involve_stakeholders: WEAK — only 1 keyword; may be coincidental | QUALITY: p6_be_transparent: WEAK — only 1 keyword; may be coincidental
134,Reports Database:Foodbank Hunger Report 2014,elderly,LOW,TIED between elderly and sports — ambiguous,Australia,MEDIUM,,2014,title,MEDIUM,,Forecast,conflict_resolved,LOW,"CONFLICTING TYPE SIGNALS: ['Forecast', 'Scoping']",,N/A,,31.2,3,"SECTOR: TIED between elderly and sports — ambiguous | TYPE: CONFLICTING TYPE SIGNALS: ['Forecast', 'Scoping'] | QUALITY: p3_value_what_matters: WEAK — only 1 keyword; may be coincidental | QUALITY: p6_be_transparent: WEAK — only 1 keyword; may be coincidental | QUALITY: p8_be_responsive: WEAK — only 1 keyword; may be coincidental"
135,Reports Database:Literacy Buddies Program  – Ardoch Youth Foundation,education,HIGH,,Australia,MEDIUM,,2013,explicit_pattern,HIGH,,Forecast,keyword_match,MEDIUM,,,N/A,,62.5,2,QUALITY: p3_value_what_matters: WEAK — only 1 keyword; may be coincidental | QUALITY: p4_only_material: WEAK — only 1 keyword; may be coincidental
136,Reports Database:Double Impact citywide services in Nottingham for people recove,health,LOW,TIED between health and elderly — ambiguous,Unknown,NONE,UNKNOWN COUNTRY — manual review needed,2013,explicit_pattern,HIGH,,Evaluative,keyword_match,MEDIUM,,,N/A,,75.0,2,SECTOR: TIED between health and elderly — ambiguous | COUNTRY: UNKNOWN COUNTRY — manual review needed | QUALITY: p3_value_what_matters: WEAK — only 1 keyword; may be coincidental | QUALITY: p7_verify_result: WEAK — only 1 keyword; may be coincidental
137,Reports Database:Daisyhouse Transitional Housing Service 2009-2011,housing,HIGH,,Ireland,MEDIUM,NARROW margin (1),2009,modal_800chars,LOW,CHECK: only 1 occurrence,Evaluative,assumed_evaluative,LOW,ASSUMED EVALUATIVE — no keyword found,,N/A,,25.0,3,COUNTRY: NARROW margin (1) | YEAR: CHECK: only 1 occurrence | TYPE: ASSUMED EVALUATIVE — no keyword found | QUALITY: p1_involve_stakeholders: WEAK — only 1 keyword; may be coincidental | QUALITY: p4_only_material: WEAK — only 1 keyword; may be coincidental | QUALITY: p6_be_transparent: WEAK — only 1 keyword; may be coincidental
